id,employee_id,project_name,budget,deadline
1,1,Super Critical Project 1,108537.00041955654,2027-01-20
2,1,Super Critical Project 2,324089.3440700062,2026-02-19
3,1,Super Critical Project 3,103886.83157748647,2026-06-03
4,1,Super Critical Project 4,240516.6858989717,2027-08-04
5,1,Super Critical Project 5,491898.3832866839,2027-11-10
6,1,Super Critical Project 6,58501.75701331507,2026-06-03
7,1,Super Critical Project 7,159447.2542501171,2027-05-21
8,1,Super Critical Project 8,344815.24989055196,2027-06-07
9,1,Super Critical Project 9,88053.18737409948,2027-05-09
10,1,Super Critical Project 10,139659.97118498568,2026-04-27
11,30630,Productize World-Class Info-Mediaries,49551.06718546686,2026-07-28
12,72731,Reinvent Distributed Paradigms,66684.34953550727,2027-02-19
13,33562,Evolve Plug-And-Play Systems,73620.0757864361,2027-11-23
14,15048,Architect Synergistic E-Services,61139.86016626304,2027-05-11
15,18242,Re-Contextualize Seamless E-Tailers,68140.18142638644,2027-10-21
16,76483,Mesh Clicks-And-Mortar Vortals,24976.51681142384,2027-07-07
17,28746,Strategize Viral E-Commerce,50476.642055552824,2027-04-06
18,29226,Target Compelling Relationships,43382.86075525448,2026-03-01
19,75679,Incentivize Best-Of-Breed Paradigms,73748.59223270036,2026-07-03
20,21671,Drive Strategic Web-Readiness,32909.758617773405,2027-06-04
21,64319,Empower Visionary Vortals,40961.264555260335,2027-11-13
22,18593,Disintermediate Turn-Key Niches,65997.95936399642,2026-08-22
23,73959,Monetize Virtual Partnerships,81932.48547929683,2026-11-14
24,22140,Extend Out-Of-The-Box Relationships,55918.35640391231,2026-12-10
25,666,Re-Contextualize Wireless Solutions,60181.940314282154,2026-12-21
26,77113,Incentivize Leading-Edge Deliverables,48790.126304200014,2028-01-25
27,34166,Repurpose Turn-Key Relationships,16693.647748647607,2027-08-15
28,39933,Repurpose Global Niches,63027.26375028883,2028-07-23
29,37272,Deliver Seamless Web Services,98604.05058383645,2026-11-30
30,25031,Synthesize Cross-Media Web-Readiness,57852.98650156688,2027-04-22
